Text,Video_path,Emotions
I'm so excited about this amazing opportunity! This is the best day ever!,C:\Users\Kalash Srivastava\Demo-Projects\Multi-Modal Sentiment Analysis'\Face Emotions\happy.mp4,happy
Just got promoted at work! Life is absolutely wonderful right now!,C:\Users\Kalash Srivastava\Demo-Projects\Multi-Modal Sentiment Analysis'\Face Emotions\happy2.mp4,happy
Had the most incredible vacation with my family. Pure joy and happiness!,C:\Users\Kalash Srivastava\Demo-Projects\Multi-Modal Sentiment Analysis'\Face Emotions\happy3.mp4,happy
Feeling fantastic today! Everything is going perfectly!,C:\Users\Kalash Srivastava\Demo-Projects\Multi-Modal Sentiment Analysis'\Face Emotions\happy4.mp4,happy
I'm overjoyed with this wonderful news! Best feeling ever!,C:\Users\Kalash Srivastava\Demo-Projects\Multi-Modal Sentiment Analysis'\Face Emotions\happy5.mp4,happy
Such a beautiful day! I'm filled with happiness and gratitude!,C:\Users\Kalash Srivastava\Demo-Projects\Multi-Modal Sentiment Analysis'\Face Emotions\happy6.mp4,happy
Amazing results! I'm thrilled beyond words!,C:\Users\Kalash Srivastava\Demo-Projects\Multi-Modal Sentiment Analysis'\Face Emotions\happy7.mp4,happy
I feel so lonely and empty inside. Nothing seems to matter anymore.,C:\Users\Kalash Srivastava\Demo-Projects\Multi-Modal Sentiment Analysis'\Face Emotions\sad.mp4,sad
Lost my best friend today. The sadness is overwhelming and unbearable.,C:\Users\Kalash Srivastava\Demo-Projects\Multi-Modal Sentiment Analysis'\Face Emotions\sad2.mp4,sad
Everything is falling apart. I can't stop crying and feeling hopeless.,C:\Users\Kalash Srivastava\Demo-Projects\Multi-Modal Sentiment Analysis'\Face Emotions\sad3.mp4,sad
Heartbroken and devastated. Life feels meaningless right now.,C:\Users\Kalash Srivastava\Demo-Projects\Multi-Modal Sentiment Analysis'\Face Emotions\sad4.mp4,sad
Feeling so down and depressed. Nothing brings me joy anymore.,C:\Users\Kalash Srivastava\Demo-Projects\Multi-Modal Sentiment Analysis'\Face Emotions\sad5.mp4,sad
The grief is consuming me. I feel so lost and alone.,C:\Users\Kalash Srivastava\Demo-Projects\Multi-Modal Sentiment Analysis'\Face Emotions\sad6.mp4,sad
