video_file,face_emotion,audio_sentiment,transcribed_text,emotion_list
angry.mp4,neutral,angry,,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'angry', 'angry', 'angry', 'surprise', 'sad', 'surprise', 'angry', 'surprise', 'neutral', 'angry', 'sad', 'angry', 'surprise', 'surprise', 'surprise', 'neutral', 'sad', 'neutral', 'neutral', 'neutral', 'neutral']"
angry2.mp4,neutral,angry,,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'happy', 'neutral', 'angry', 'surprise', 'neutral', 'surprise', 'neutral', 'neutral', 'surprise', 'surprise', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
angry3.mp4,neutral,fear,,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'angry', 'neutral', 'surprise', 'neutral', 'fear', 'angry', 'fear', 'neutral', 'surprise', 'fear', 'surprise', 'angry', 'angry', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
angry5.mp4,neutral,angry,,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'angry', 'angry', 'neutral', 'neutral', 'sad', 'sad', 'angry', 'disgust', 'angry', 'surprise', 'surprise', 'neutral', 'sad', 'neutral', 'neutral', 'neutral', 'neutral']"
angry6.mp4,neutral,fear,,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'angry', 'surprise', 'angry', 'neutral', 'angry', 'surprise', 'neutral', 'fear', 'angry', 'angry', 'surprise', 'neutral', 'neutral', 'angry', 'surprise', 'neutral', 'surprise', 'surprise', 'angry', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
angry7.mp4,neutral,fear,,"['neutral', 'neutral', 'neutral', 'neutral', 'sad', 'angry', 'angry', 'neutral', 'surprise', 'angry', 'surprise', 'surprise', 'happy', 'neutral', 'surprise', 'happy', 'angry', 'surprise', 'surprise', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
angy4.mp4,neutral,angry,,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'surprise', 'surprise', 'happy', 'angry', 'angry', 'surprise', 'neutral', 'neutral', 'angry', 'neutral', 'neutral', 'surprise', 'surprise', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
disgust.mp4,sad,disgust,,"['neutral', 'neutral', 'neutral', 'neutral', 'sad', 'angry', 'sad', 'sad', 'sad', 'sad', 'sad', 'angry', 'fear', 'fear', 'neutral', 'angry', 'fear', 'fear', 'fear', 'sad', 'sad', 'sad', 'sad', 'sad', 'sad']"
disgust2.mp4,sad,disgust,,"['neutral', 'neutral', 'neutral', 'neutral', 'angry', 'sad', 'angry', 'angry', 'angry', 'sad', 'disgust', 'disgust', 'sad', 'sad', 'angry', 'sad', 'sad', 'sad', 'sad', 'sad', 'sad', 'sad', 'sad', 'sad']"
disgust3.mp4,sad,fear,,"['neutral', 'neutral', 'surprise', 'fear', 'sad', 'sad', 'fear', 'sad', 'sad', 'sad', 'sad', 'fear', 'sad', 'sad', 'sad', 'sad', 'sad', 'sad', 'sad', 'fear', 'sad', 'sad', 'sad', 'neutral', 'sad', 'neutral']"
